Code,Name,Date,Type,ID,Status,Broker,Prev,On,Off,Balance,,,,
NMR,Nimrodel Resources Ltd,20/01/2012,Sold,0140214326274000,,Commsec,90000,,90000,0,,,,
NMR,Nimrodel Resources Ltd,30/01/2012,Bought,0140214333935500,,Commsec,,70000,,70000,,,,
WHN,WHL Energy Limited,24/01/2012,Bought,0140214329826700,,Commsec,,26302,,26302,,,,
WHN,WHL Energy Limited,25/01/2012,Bought,0140214330539000,,Commsec,26302,79698,,106000,,,,
NWZ,Newzulu Ltd,20/08/2014,Security Code Change,001294N1CNSI5P00,was: PIE,Netwealth,,3750,,3750,,,,
PIE,pieNetworks Ltd,20/08/2014,Security Code Change,001294N1CNSI5P00,to: NWZ,Netwealth,3750,,3750,0,,,,
MTA,Metals of Africa,22/08/2014,Bought,0140215472659200,,Commsec,,29000,,29000,,,,
MTA,Metals of Africa,27/08/2014,Sold,0140215478458600,,Commsec,29000,,29000,0,,,,
MNC,Metminco Limited,14/07/2014,Bought,0638100918507700,,Netwealth,230000,200000,,430000,,,,
NAB,National Australia Bank,8/07/2014,DRP,6025400421018100,,Netwealth,174,6,,180,,,,
WCN,White Cliff Minerals Limited,22/07/2014,Bought,0638100924203800,,Netwealth,,290000,,290000,,,,
ABU,ABM Resources NL,4/07/2014,Consolidation - 15:1,5961700001089200,,Commsec,65000,,60666,4334,,,,
ADO,anteo diagnostics,9/07/2014,Bought,0140215407018400,,Commsec,62000,25000,,87000,,,,
ADO,anteo diagnostics,11/07/2014,Sold,0140215409762900,,Commsec,87000,,25000,62000,,,,
WCN,White Cliff Minerals Limited,3/07/2014,Bought,0140215399107800,,Commsec,240000,410000,,650000,,,,
WCN,White Cliff Minerals Limited,4/07/2014,Sold,0140215400584900,,Commsec,650000,,410000,240000,,,,
AMP,AMP Ltd,14/10/2011,DRP,5870600199523000,,Netwealth,238,9,,247,,,,
CNN,Cardia Bioplastics Ltd,7/10/2011,Bought,0638100331292800,,Netwealth,,450000,,450000,,,,
JKA,Jacka Resources Ltd,20/10/2011,Sold,0638100336637300,,Netwealth,58000,,58000,0,,,,
JKA,Jacka Resources Ltd,26/10/2011,Bought,0638100339400200,,Netwealth,,60000,,60000,,,,
CCCO,Continental Coal Ltd,26/06/2013,Option allotment,,,Netwealth,,26000,,26000,,,,
CCCO,Continental Coal Ltd,26/06/2013,Option allotment,,,Netwealth,,14000,,14000,,,,
ADO,anteo diagnostics,7/04/2014,Sold,0140215286301200,,Commsec,58000,,20000,38000,,,,
ADO,anteo diagnostics,11/04/2014,Bought,0140215295315400,,Commsec,38000,24000,,62000,,,,
AMP,AMP Ltd,10/04/2014,DRP,5870600232038300,,Netwealth,276,7,,283,,,,
