Code,Name,Date,Type,ID,Status,Broker,Prev,On,Off,Balance,,,,
GRM,Global Resources Corporation Ltd,4/06/2012,Consolidation - 20:1,6199100237506300,,Commsec,,20000,,20000,,,,
RXL,Rox Resources Ltd,21/02/2013,Bought,0140214780699200,,Commsec,,110000,,110000,,,,
RXL,Rox Resources Ltd,22/02/2013,Sold,0140214782545600,,Commsec,110000,,110000,0,,,,
AVA,Aviva Corporation Ltd,20/01/2014,Bought,0638100803165200,,Netwealth,,27000,,27000,,,,
AVA,Aviva Corporation Ltd,22/01/2014,Sold,0638100804594400,,Netwealth,27000,,27000,0,,,,
CTR,Citation Resources,14/01/2014,Bought,0638100799804600,,Netwealth,225000,290000,,515000,,,,
NMI,Northern Mining Ltd,8/01/2014,Sold,0638100796280400,,Netwealth,300000,,300000,0,,,,
RHT,Resonance Health Ltd,22/01/2014,Bought,0638100804785100,,Netwealth,,53000,,53000,,,,
SHP,Shoply Ltd,15/01/2014,Bought,0638100800532400,,Netwealth,,200000,,200000,,,,
SHP,Shoply Ltd,21/01/2014,Sold,0638100803687300,,Netwealth,200000,,200000,0,,,,
TZL,TZ Ltd,23/01/2014,Bought,0638100805672200,,Netwealth,,28000,,28000,,,,
AHZ,Allied Healthcare Group,20/08/2013,Sold,0638100689041000,,Netwealth,187000,,187000,0,,,,
AHZ,Allied Healthcare Group,27/08/2013,Bought,0638100694947800,,Netwealth,,135000,,135000,,,,
AHZ,Allied Healthcare Group,29/08/2013,Sold,0638100696254800,,Netwealth,135000,,20000,115000,,,,
AHZ,Allied Healthcare Group,30/08/2013,Sold,0638100697310500,,Netwealth,115000,,115000,0,,,,
BGS,Birimian Gold Ltd,26/08/2013,Bought,0638100694000600,,Netwealth,,215000,,215000,,,,
BGS,Birimian Gold Ltd,30/08/2013,Sold,0638100697265400,,Netwealth,215000,,215000,0,,,,
BUL,Blue Energy Ltd,9/08/2013,Bought,0638100682651400,,Netwealth,,58000,,58000,,,,
DTE,Dart Energy Ltd,27/08/2013,Bought,0638100694882000,,Netwealth,,82000,,82000,,,,
DYE,Dyesol Ltd,14/08/2013,Sold,0638100684727000,,Netwealth,11000,,11000,0,,,,
ISN,iSonea Ltd,30/08/2013,Bought,0638100697616700,,Netwealth,,8000,,8000,,,,
MBN,Mirabela Nickel Ltd,26/08/2013,Sold,0638100693369300,,Netwealth,220000,,105000,115000,,,,
MBN,Mirabela Nickel Ltd,27/08/2013,Sold,0638100694486700,,Netwealth,115000,,115000,0,,,,
MMC,Marengo Mining Ltd,23/08/2013,Bought,0638100692895900,,Netwealth,,333456,,333456,,,,
MMC,Marengo Mining Ltd,26/08/2013,Bought,0638100693975100,,Netwealth,333456,86544,,420000,,,,
MNC,Metminco Limited,15/08/2013,Bought,0638100686189100,,Netwealth,,115000,,115000,,,,
MNC,Metminco Limited,21/08/2013,Sold,0638100690216400,,Netwealth,115000,,115000,0,,,,
NMI,Northern Mining Ltd,30/08/2013,Bought,0638100697624400,,Netwealth,,300000,,300000,,,,
RXL,Rox Resources Ltd,7/08/2013,Sold,0638100679942800,,Netwealth,150000,,45000,105000,,,,
RXL,Rox Resources Ltd,7/08/2013,Sold,0638100680066900,,Netwealth,105000,,105000,0,,,,
WHN,WHL Energy Limited,1/08/2013,Bought,0638100677245100,,Netwealth,,290000,,290000,,,,
BGS,Birimian Gold Ltd,10/09/2013,Bought,0638100703770100,,Netwealth,,185000,,185000,,,,
BTR,Blackthorn Resources Ltd,5/09/2013,Bought,0638100701283300,,Netwealth,,10000,,10000,,,,
BTR,Blackthorn Resources Ltd,9/09/2013,Sold,0638100702615600,,Netwealth,10000,,10000,0,,,,
BUL,Blue Energy Ltd,2/09/2013,Sold,0638100698134100,,Netwealth,58000,,58000,0,,,,
DTE,Dart Energy Ltd,6/09/2013,Sold,0638100701767800,CUM status?,Netwealth,82000,,82000,0,,,,
ISN,iSonea Ltd,5/09/2013,Sold,0638100700939600,,Netwealth,8000,,8000,0,,,,
IXR,IMX Resources Ltd,3/09/2013,Bought,0638100699502900,,Netwealth,,60000,,60000,,,,
MBE,Mobile Embrace Ltd,4/09/2013,Bought,0638100700416200,,Netwealth,,70000,,70000,,,,
MBE,Mobile Embrace Ltd,9/09/2013,Sold,0638100702625400,,Netwealth,70000,,70000,0,,,,
MBE,Mobile Embrace Ltd,11/09/2013,Bought,0638100704683400,,Netwealth,,60000,,60000,,,,
MBE,Mobile Embrace Ltd,24/09/2013,Sold,0638100713257900,,Netwealth,60000,,60000,0,,,,
MBN,Mirabela Nickel Ltd,19/09/2013,Bought,0638100710987900,,Netwealth,,2,,2,,,,
MBN,Mirabela Nickel Ltd,20/09/2013,Bought,0638100711801400,,Netwealth,2,124998,,125000,,,,
MMC,Marengo Mining Ltd,17/09/2013,Sold,0638100708979200,,Netwealth,420000,,420000,0,,,,
MMC,Marengo Mining Ltd,25/09/2013,Bought,0638100714399100,,Netwealth,,320000,,320000,,,,
MNC,Metminco Limited,6/09/2013,Bought,0638100702107700,,Netwealth,,80000,,80000,,,,
MNC,Metminco Limited,9/09/2013,Bought,0638100702945300,,Netwealth,80000,150000,,230000,,,,
RIO,Rio Tinto Ltd,3/09/2013,Bought,0638100699392200,,Netwealth,,170,,170,,,,
ADO,anteo diagnostics,4/11/2011,Bought,0140214251045200,,Commsec,58000,80000,,138000,,,,
CXY,Cougar Energy Ltd,4/11/2011,Bought,0140214251360100,,Commsec,,220000,,220000,,,,
EOC,Endocoal Ltd,24/11/2011,Bought,0140214273191700,,Commsec,,17000,,17000,,,,
FML,Focus Minerals Ltd,2/11/2011,Sold,0140214247640400,,Commsec,150000,,150000,0,,,,
GRM,Global Resources Corporation Ltd,9/11/2011,Bought,0140214256610100,,Commsec,,400000,,400000,,,,
MNM,Mantle Mining Corporation Ltd,1/11/2011,Rights Entitlements,6074900000630500,,Commsec,23334,6666,,30000,,,,
WPG,WPG Resources Ltd,4/11/2011,Bought,0140214252296000,,Commsec,,43000,,43000,,,,
WHNO,WHL Energy Limited,2/11/2011,Sold,0140214247640300,,Commsec,500000,,500000,0,,,,
MNM,Mantle Mining Corporation Ltd,1/11/2011,Rights Entitlements,6074900000652900,,Commsec,3334,6666,,10000,,,,
NEU,Neuren Pharmaceuticals,17/11/2011,Bought,0140214266153000,,Commsec,,240000,,240000,,,,
NEU,Neuren Pharmaceuticals,22/11/2011,Sold,0140214269374300,,Commsec,240000,,240000,0,,,,
AHZ,Allied Healthcare Group,8/07/2013,Bought,0638100662337700,,Netwealth,,100000,,100000,,,,
AHZ,Allied Healthcare Group,12/07/2013,Bought,0638100665739300,,Netwealth,100000,87000,,187000,,,,
AKK,Austin Exploration Ltd,1/07/2013,Bought,0638100658039300,,Netwealth,904828,660000,,1564828,,,,
AKK,Austin Exploration Ltd,8/07/2013,Sold,0638100661924600,,Netwealth,1564828,,660000,904828,,,,
AKK,Austin Exploration Ltd,10/07/2013,Bought,0638100663911000,,Netwealth,904828,600000,,1504828,,,,
AZS,Azure Minerals Ltd,23/07/2013,Bought,0638100671280500,,Netwealth,,100000,,100000,,,,
AZS,Azure Minerals Ltd,25/07/2013,Sold,0638100672600700,,Netwealth,100000,,100000,0,,,,
BGS,Birimian Gold Ltd,1/07/2013,Sold,0638100657694700,,Netwealth,260000,,260000,0,,,,
BHP,BHP Billiton Ltd,1/07/2013,Bought,0638100658203200,,Netwealth,,160,,160,,,,
CTR,Citation Resources,8/07/2013,Bought,0638100662307900,,Netwealth,,250000,,250000,,,,
CTR,Citation Resources,22/07/2013,Sold,0638100670186400,,Netwealth,250000,,250000,0,,,,
CTR,Citation Resources,30/07/2013,Bought,0638100675518700,,Netwealth,,225000,,225000,,,,
DYE,Dyesol Ltd,9/07/2013,Bought,0638100663069900,,Netwealth,,12000,,12000,,,,
DYE,Dyesol Ltd,11/07/2013,Sold,0638100664399200,,Netwealth,12000,,12000,0,,,,
DYE,Dyesol Ltd,26/07/2013,Bought,0638100673693700,,Netwealth,,11000,,11000,,,,
MBN,Mirabela Nickel Ltd,9/07/2013,Bought,0638100663038100,,Netwealth,,75000,,75000,,,,
MBN,Mirabela Nickel Ltd,11/07/2013,Sold,0638100664422000,,Netwealth,75000,,75000,0,,,,
MBN,Mirabela Nickel Ltd,16/07/2013,Bought,0638100667143800,,Netwealth,,86000,,86000,,,,
MBN,Mirabela Nickel Ltd,23/07/2013,Bought,0638100671237100,,Netwealth,86000,49000,,135000,,,,
MBN,Mirabela Nickel Ltd,23/07/2013,Bought,0638100671237300,,Netwealth,135000,100000,,235000,,,,
MBN,Mirabela Nickel Ltd,29/07/2013,Sold,0638100674298200,,Netwealth,235000,,75000,160000,,,,
MBN,Mirabela Nickel Ltd,29/07/2013,Sold,0638100674298600,,Netwealth,160000,,60000,100000,,,,
MBN,Mirabela Nickel Ltd,31/07/2013,Bought,0638100676232400,,Netwealth,100000,120000,,220000,,,,
RXL,Rox Resources Ltd,9/07/2013,Bought,0638100663138100,,Netwealth,,150000,,150000,,,,
SDL,Sundance Resources Ltd,26/07/2013,Bought,0638100673743900,,Netwealth,25000,60000,,85000,,,,
SDL,Sundance Resources Ltd,31/07/2013,Sold,0638100675910100,,Netwealth,85000,,60000,25000,,,,
TGS,Tiger Resources Ltd,8/07/2013,Bought,0638100662287300,,Netwealth,,26000,,26000,,,,
TGS,Tiger Resources Ltd,10/07/2013,Sold,0638100663684400,,Netwealth,26000,,26000,0,,,,
