Trade Date,Confirmation Number,Order Number,Order Type,Code,Units,Average Price ($),Brokerage (inc GST.),Net Proceeds ($),Settlement Date,Status
4/01/2016,20755136,9989060557,B,BOE,"98,000",0.048,17.99,"4,721.99",7/01/2016,Confirmed
4/01/2016,20752431,9988984169,S,NAG,"47,000",0.2,19.95,"9,380.05",7/01/2016,Confirmed
17/12/2015,20688544,9988801002,B,CNW,"115,000",0.043,17.99,"4,962.99",22/12/2015,Confirmed
17/12/2015,20688366,9988800402,S,DVI,"200,000",0.025,17.99,"4,942.01",22/12/2015,Confirmed
17/12/2015,20687332,9988795141,B,AZY,"330,000",0.015,17.99,"4,967.99",22/12/2015,Confirmed
17/12/2015,20689008,9988794982,B,NAG,"47,000",0.105,17.99,"4,952.99",22/12/2015,Confirmed
16/12/2015,20683830,9988779892,S,RNT,"12,000",0.365,17.99,"4,362.01",21/12/2015,Confirmed
16/12/2015,20683257,9988777813,S,CNW,"120,000",0.043,19.95,"5,140.05",21/12/2015,Confirmed
14/12/2015,20662549,9988690690,B,CNW,"120,000",0.041,17.99,"4,937.99",17/12/2015,Confirmed
11/12/2015,20660667,9988688073,B,BFC,"12,000",0.403,17.99,"4,847.99",16/12/2015,Confirmed
11/12/2015,20659537,9988683265,S,ODN,"290,000",0.019,19.95,"5,490.05",16/12/2015,Confirmed
11/12/2015,20661318,9988690518,S,BFC,"12,000",0.398,17.99,"4,752.01",16/12/2015,Confirmed
10/12/2015,20655088,9988661513,B,RNT,"12,000",0.385,17.99,"4,637.99",15/12/2015,Confirmed
9/12/2015,20645650,9988629002,S,GMM,"23,000",0.205,17.99,"4,697.01",14/12/2015,Confirmed
4/12/2015,20620809,9988444603,B,GMM,"23,000",0.185,17.99,"4,272.99",9/12/2015,Confirmed
1/12/2015,20597338,9988420325,B,GMM,"29,000",0.16,17.99,"4,657.99",4/12/2015,Confirmed
1/12/2015,20600867,9988275599,B,AWO,"230,000",0.021,17.99,"4,847.99",4/12/2015,Confirmed
1/12/2015,20601727,9988444475,S,GMM,"29,000",0.155,17.99,"4,477.01",4/12/2015,Confirmed
30/11/2015,20590735,9988394932,S,PSY,"27,000",0.165,17.99,"4,437.01",3/12/2015,Confirmed
27/11/2015,20585822,9988373395,B,ODN,"290,000",0.017,17.99,"4,947.99",2/12/2015,Confirmed
26/11/2015,20575099,9988329241,B,ODN,"200,000",0.024,17.99,"4,817.99",1/12/2015,Confirmed
26/11/2015,20577961,9988341922,S,ODN,"200,000",0.023,17.99,"4,582.01",1/12/2015,Confirmed
26/11/2015,20573816,9988287673,B,PSY,"20,774",0.185,0,"3,843.19",1/12/2015,Confirmed
25/11/2015,20571522,9988287673,B,PSY,"6,226",0.185,17.99,"1,169.80",30/11/2015,Confirmed
24/11/2015,20563877,9988229791,B,DVI,"200,000",0.024,17.99,"4,817.99",27/11/2015,Confirmed
20/11/2015,20548850,9988214405,S,NWZ,"80,000",0.057,17.99,"4,542.01",25/11/2015,Confirmed
20/11/2015,20547273,9988190806,B,NWZ,"80,000",0.062,17.99,"4,977.99",25/11/2015,Confirmed
18/11/2015,20529191,9988130244,S,DVI,"175,000",0.03,19.95,"5,230.05",23/11/2015,Confirmed
16/11/2015,20516410,9988072724,S,GMM,"32,000",0.165,19.95,"5,260.05",19/11/2015,Confirmed
16/11/2015,20520650,9988055893,S,AJM,"90,000",0.046,17.99,"4,083.58",19/11/2015,Confirmed
12/11/2015,20501164,9987902182,B,DVI,"175,000",0.028,17.99,"4,917.99",17/11/2015,Confirmed
12/11/2015,20501189,9988004314,B,CM8,"16,000",0.31,17.99,"4,977.99",17/11/2015,Confirmed
12/11/2015,20501050,9988002570,S,DSH,"6,300",0.75,17.99,"4,707.01",17/11/2015,Confirmed
11/11/2015,20497490,9987986471,S,DSH,"6,200",0.785,17.99,"4,849.01",16/11/2015,Confirmed
11/11/2015,20498729,9987988594,B,DSH,"6,300",0.785,17.99,"4,963.49",16/11/2015,Confirmed
10/11/2015,20489936,9987951183,S,LWP,"750,000",0.007,19.95,"5,230.05",13/11/2015,Confirmed
6/11/2015,20471080,9987802476,B,MNQ,"190,000",0.026,17.99,"4,957.99",11/11/2015,Confirmed
5/11/2015,20464704,9987840049,B,DSH,"6,200",0.805,17.99,"5,008.99",10/11/2015,Confirmed
5/11/2015,20466375,9987824147,B,GMM,"32,000",0.155,17.99,"4,977.99",10/11/2015,Confirmed
3/11/2015,20450923,9987778279,S,GXY,"98,000",0.075,19.95,"7,330.05",6/11/2015,Confirmed
28/10/2015,20419751,9987641827,S,DVI,"320,000",0.031,19.95,"9,900.05",2/11/2015,Confirmed
27/10/2015,20416792,9987389286,B,DVI,"320,000",0.031,19.95,"9,939.95",30/10/2015,Confirmed
21/10/2015,20389676,9987510400,B,AJM,"90,000",0.055,17.99,"4,967.99",26/10/2015,Confirmed
20/10/2015,20383487,9987480444,S,GMM,"47,000",0.185,19.95,"8,674.98",23/10/2015,Confirmed
19/10/2015,20375153,9987445156,B,GMM,"24,000",0.195,17.99,"4,697.99",22/10/2015,Confirmed
19/10/2015,20374827,9987429730,S,RAP,"140,000",0.033,17.99,"4,602.01",22/10/2015,Confirmed
14/10/2015,20351578,9987340291,S,GXY,"90,000",0.051,17.99,"4,614.31",19/10/2015,Confirmed
14/10/2015,20351064,9987338031,S,CVT,"14,000",0.315,17.99,"4,392.01",19/10/2015,Confirmed
14/10/2015,20353299,9987348939,B,GMM,"23,000",0.17,17.99,"3,927.99",19/10/2015,Confirmed
14/10/2015,20351111,9987337254,B,GXY,"90,000",0.055,17.99,"4,967.99",19/10/2015,Confirmed
14/10/2015,20352915,9987347287,B,GXY,"98,000",0.051,17.99,"5,015.99",19/10/2015,Confirmed
14/10/2015,20350513,9987335363,S,GMM,"29,000",0.175,19.95,"5,055.05",19/10/2015,Confirmed
14/10/2015,20349018,9987327632,B,GMM,"29,000",0.165,17.99,"4,802.99",19/10/2015,Confirmed
13/10/2015,20346188,9987313265,B,CVT,"14,000",0.335,17.99,"4,707.99",16/10/2015,Confirmed
12/10/2015,20335362,9987269325,S,DVI,"270,000",0.035,19.95,"9,430.05",15/10/2015,Confirmed
8/10/2015,20324355,9987220031,B,1PG,"1,100",4.43,17.99,"4,890.99",13/10/2015,Confirmed
8/10/2015,20326822,9987230310,S,1PG,"1,100",4.07,17.99,"4,459.01",13/10/2015,Confirmed
8/10/2015,20324207,9987218700,S,RAP,"140,000",0.033,17.99,"4,602.01",13/10/2015,Confirmed
8/10/2015,20327426,9987232612,B,RAP,"140,000",0.033,17.99,"4,637.99",13/10/2015,Confirmed
6/10/2015,20314263,9987150967,B,RAP,"140,000",0.035,17.99,"4,917.99",9/10/2015,Confirmed
11/09/2015,20182573,9986666139,S,GMM,"84,000",0.062,19.95,"5,224.82",16/09/2015,Confirmed
1/09/2015,20106223,9986420522,S,WCN,"290,000",0.011,17.99,"3,172.01",4/09/2015,Confirmed
6/08/2015,19925379,9985688586,B,DVI,"270,000",0.023,19.95,"6,229.95",11/08/2015,Confirmed
6/08/2015,19922087,9985673662,S,MAT,"4,900",0.16,17.99,766.01,11/08/2015,Confirmed
3/08/2015,19903351,9985589425,B,LWP,"450,000",0.011,17.99,"4,967.99",6/08/2015,Confirmed
14/07/2015,19806099,9985105354,S,JKA,"60,000",0.01,17.99,582.01,17/07/2015,Confirmed
10/07/2015,19796067,9985106009,S,APG,"100,000",0.007,17.99,682.01,15/07/2015,Confirmed
3/07/2015,19761962,9984963248,S,BIT,"31,000",0.135,17.99,"4,167.01",8/07/2015,Confirmed
2/07/2015,19758624,9984947777,S,BGS,"185,000",0.009,17.99,"1,647.01",7/07/2015,Confirmed
2/07/2015,19757021,9984941898,S,IXR,"60,000",0.013,17.99,762.01,7/07/2015,Confirmed
2/07/2015,19755192,9984934788,S,CZL,"16,250",0.04,17.99,632.01,7/07/2015,Confirmed
2/07/2015,19761069,9984957269,S,MRV,"160,000",0.004,17.99,622.01,7/07/2015,Confirmed
1/07/2015,19749656,9984886849,S,MNE,"455,000",0.006,17.99,"2,712.01",6/07/2015,Confirmed
30/06/2015,19746890,9984897769,S,BHP,160,27.02,17.99,"4,305.21",3/07/2015,Confirmed
30/06/2015,19746646,9984896600,S,WPL,125,34.2,17.99,"4,257.01",3/07/2015,Confirmed
30/06/2015,19743825,9984885953,S,AMP,295,5.96,17.99,"1,740.21",3/07/2015,Confirmed
30/06/2015,19746532,9984896459,S,RIO,170,53.82,19.95,"9,129.45",3/07/2015,Confirmed
11/06/2015,19642896,9984482043,B,CM8,"20,000",0.25,17.99,"5,017.99",16/06/2015,Confirmed
11/06/2015,19642509,9984481214,S,CM8,"22,000",0.24,19.95,"5,260.05",16/06/2015,Confirmed
11/06/2015,19641838,9984479867,B,CM8,"22,000",0.225,17.99,"4,967.99",16/06/2015,Confirmed
11/06/2015,19641484,9984478694,S,CM8,"22,000",0.24,19.95,"5,260.05",16/06/2015,Confirmed
10/06/2015,19639550,9984468111,B,CM8,"22,000",0.215,17.99,"4,747.99",15/06/2015,Confirmed
10/06/2015,19637126,9984459645,S,SWM,"4,600",1.07,17.99,"4,904.01",15/06/2015,Confirmed
10/06/2015,19635892,9984455182,B,SWM,"4,600",1.075,17.99,"4,962.99",15/06/2015,Confirmed
10/06/2015,19635759,9984454658,S,CVT,"12,000",0.415,17.99,"4,962.01",15/06/2015,Confirmed
5/06/2015,19619739,9984381917,B,CVT,"12,000",0.41,17.99,"4,937.99",11/06/2015,Confirmed
4/06/2015,19613778,9984321789,B,LWP,"300,000",0.013,17.99,"3,917.99",10/06/2015,Confirmed
3/06/2015,19611095,9984336204,S,PSY,"33,000",0.15,17.99,"4,927.40",9/06/2015,Confirmed
2/06/2015,19603692,9984313681,S,MYR,"2,700",1.46,17.99,"3,924.01",5/06/2015,Confirmed
1/06/2015,19594957,9984275841,B,PSY,"33,000",0.15,17.99,"4,967.99",4/06/2015,Confirmed
1/06/2015,19595491,9984265004,B,MYR,"2,700",1.475,17.99,"4,000.49",4/06/2015,Confirmed
29/05/2015,19583044,9984217751,S,CKK,"300,000",0.017,19.95,"5,080.05",3/06/2015,Confirmed
28/05/2015,19580839,9984213553,S,CKK,"300,000",0.024,19.95,"7,180.05",2/06/2015,Confirmed
28/05/2015,19581339,9984213661,B,CKK,"300,000",0.019,19.95,"5,719.95",2/06/2015,Confirmed
27/05/2015,19572499,9984172822,B,CKK,"300,000",0.016,17.99,"4,817.99",1/06/2015,Confirmed
25/05/2015,19562544,9984131482,S,MMC,"320,000",0.003,17.99,942.01,28/05/2015,Confirmed
22/05/2015,19550547,9984070659,S,MGX,"20,000",0.235,17.99,"4,682.01",27/05/2015,Confirmed
18/05/2015,19525892,9983956615,B,MGX,"20,000",0.24,17.99,"4,817.99",21/05/2015,Confirmed
14/05/2015,19509117,9983877619,S,FMG,"2,000",2.41,17.99,"4,802.01",19/05/2015,Confirmed
12/05/2015,19496855,9983827747,B,FMG,"2,000",2.52,19.95,"5,059.95",15/05/2015,Confirmed
8/05/2015,19483253,9983725175,S,PSY,"23,000",0.184,17.99,"4,214.61",13/05/2015,Confirmed
24/04/2015,19402708,9983435768,B,PSY,"23,000",0.215,17.99,"4,962.99",29/04/2015,Confirmed
23/04/2015,19396945,9983418317,S,NAB,185,38.02,19.95,"7,013.75",28/04/2015,Confirmed
26/02/2015,19139078,9982308448,B,BIT,"31,000",0.16,17.99,"4,977.99",3/03/2015,Confirmed
26/02/2015,19139061,9982308357,S,PRR,"140,000",0.037,19.95,"5,160.05",3/03/2015,Confirmed
21/01/2015,18970658,9981513262,B,PRR,"140,000",0.036,19.95,"5,059.95",27/01/2015,Confirmed
21/01/2015,18967422,9981497925,S,CL8O,"550,000",0.009,17.99,"4,932.01",27/01/2015,Confirmed
13/01/2015,18932001,9981308130,B,CL8O,"550,000",0.009,17.99,"4,967.99",16/01/2015,Confirmed
13/01/2015,18931314,9981307679,S,MGX,"21,000",0.255,19.95,"5,335.05",16/01/2015,Confirmed
9/01/2015,18921738,9981212814,S,MGX,"24,000",0.26,19.95,"6,220.05",14/01/2015,Confirmed
9/01/2015,18922274,9981260758,B,CL8,"280,000",0.017,17.99,"4,777.99",14/01/2015,Confirmed
9/01/2015,18924733,9981273291,S,CL8,"280,000",0.015,17.99,"4,182.01",14/01/2015,Confirmed
9/01/2015,18924745,9981273325,B,MGX,"21,000",0.28,19.95,"5,899.95",14/01/2015,Confirmed
15/12/2014,18838882,9980820309,S,MGX,"23,000",0.2,17.99,"4,582.01",18/12/2014,Confirmed
15/12/2014,18839921,9980823025,B,MGX,"24,000",0.21,19.95,"5,059.95",18/12/2014,Confirmed
11/12/2014,18829232,9980774514,B,MGX,"23,000",0.215,17.99,"4,962.99",16/12/2014,Confirmed
10/12/2014,18821917,9980720465,S,AJX,"12,000",0.5,19.95,"5,980.05",15/12/2014,Confirmed
8/12/2014,18805327,9980631977,B,AJX,"12,000",0.435,19.95,"5,239.95",11/12/2014,Confirmed
4/12/2014,18793252,9980617074,S,AJX,"12,000",0.38,17.99,"4,542.01",9/12/2014,Confirmed
3/12/2014,18783305,9980570782,B,AJX,"12,000",0.415,17.99,"4,997.99",8/12/2014,Confirmed
3/12/2014,18782619,9980553915,S,AJX,"13,000",0.435,19.95,"5,635.05",8/12/2014,Confirmed
28/11/2014,18758932,9980451770,B,AJX,"13,000",0.32,17.99,"4,177.99",3/12/2014,Confirmed
26/11/2014,18748721,9980395215,S,SHP,"270,000",0.016,17.99,"4,302.01",1/12/2014,Confirmed
23/10/2014,18610189,9979666487,B,SHP,"270,000",0.018,17.99,"4,877.99",28/10/2014,Confirmed
22/10/2014,18602355,9979625931,S,SHP,"300,000",0.016,17.99,"4,782.01",27/10/2014,Confirmed
20/10/2014,18591764,9979550190,B,SHP,"300,000",0.017,19.95,"5,119.95",23/10/2014,Confirmed
17/10/2014,18584197,9979519266,B,NXR,"150,000",0.031,17.99,"4,667.99",22/10/2014,Confirmed
17/10/2014,18588292,9979532290,S,NXR,"150,000",0.033,17.99,"4,932.01",22/10/2014,Confirmed
14/10/2014,18566525,9979429360,B,WPL,125,38.69,17.99,"4,854.24",17/10/2014,Confirmed
9/10/2014,18551056,9979347860,S,AKK,"600,000",0.013,19.95,"7,780.05",14/10/2014,Confirmed
17/07/2014,18172241,9977577947,B,RDR,"115,000",0.043,17.99,"4,962.99",22/07/2014,Confirmed
17/07/2014,18172821,9977580178,S,RDR,"115,000",0.045,19.95,"5,155.05",22/07/2014,Confirmed
17/07/2014,18172937,9977580753,B,WCN,"290,000",0.017,17.99,"4,947.99",22/07/2014,Confirmed
9/07/2014,18143014,9977432553,B,MNC,"200,000",0.025,17.99,"5,017.99",14/07/2014,Confirmed
3/03/2014,17648729,9975131802,B,MNE,"135,000",0.037,17.99,"5,012.99",6/03/2014,Confirmed
25/02/2014,17620960,9974990806,B,MNE,"170,000",0.029,17.99,"4,947.99",28/02/2014,Confirmed
25/02/2014,17618376,9974988946,S,SHP,"230,000",0.036,19.95,"8,260.05",28/02/2014,Confirmed
7/02/2014,17543476,9974571511,B,SHP,"159,578",0.021,0,"3,351.14",12/02/2014,Confirmed
4/02/2014,17530026,9974571511,B,SHP,"70,422",0.021,17.99,"1,496.85",7/02/2014,Confirmed
4/02/2014,17524744,9974556792,S,AHZ,"30,000",0.16,17.99,"4,782.01",7/02/2014,Confirmed
3/02/2014,17519371,9974534460,B,AHZ,"30,000",0.165,17.99,"4,967.99",6/02/2014,Confirmed
3/02/2014,17519342,9974523594,S,TZL,"28,000",0.185,19.95,"5,160.05",6/02/2014,Confirmed
20/01/2014,17470167,9974307945,S,AVA,"27,000",0.23,19.95,"6,190.05",23/01/2014,Confirmed
20/01/2014,17472238,9974315146,B,TZL,"28,000",0.175,17.99,"4,917.99",23/01/2014,Confirmed
17/01/2014,17466972,9974286561,B,RHT,"53,000",0.094,17.99,"4,999.99",22/01/2014,Confirmed
17/01/2014,17465939,9974286463,S,SHP,"200,000",0.023,17.99,"4,582.01",22/01/2014,Confirmed
15/01/2014,17455677,9974237909,B,AVA,"27,000",0.18,17.99,"4,877.99",20/01/2014,Confirmed
13/01/2014,17446972,9974194121,S,RXL,"125,000",0.043,19.95,"5,355.05",16/01/2014,Confirmed
10/01/2014,17441393,9974167662,B,RXL,"125,000",0.04,17.99,"5,017.99",15/01/2014,Confirmed
10/01/2014,17442516,9974168124,B,SHP,"200,000",0.025,17.99,"5,017.99",15/01/2014,Confirmed
10/01/2014,17440650,9974161988,S,AHZ,"29,000",0.16,17.99,"4,622.01",15/01/2014,Confirmed
9/01/2014,17439037,9974155630,B,CTR,"290,000",0.017,17.99,"4,947.99",14/01/2014,Confirmed
9/01/2014,17438429,9974152912,B,AHZ,"29,000",0.17,17.99,"4,947.99",14/01/2014,Confirmed
6/01/2014,17423074,9974024721,S,NMI,"300,000",0.048,26.99,"14,373.01",9/01/2014,Confirmed
13/11/2013,17237210,9973211437,B,MNE,"150,000",0.033,17.99,"4,967.99",18/11/2013,Confirmed
13/11/2013,17236372,9973061255,S,AHZ,"38,000",0.16,19.95,"6,060.05",18/11/2013,Confirmed
23/10/2013,17143812,9972791510,B,AHZ,"38,000",0.13,17.99,"4,957.99",28/10/2013,Confirmed
23/10/2013,17143250,9972789249,S,SDL,"25,000",0.12,17.99,"2,982.01",28/10/2013,Confirmed
27/09/2013,17046519,9972316864,S,MBN,"125,000",0.027,17.99,"3,357.01",2/10/2013,Confirmed
20/09/2013,17022313,9972198031,B,MMC,"320,000",0.025,19.95,"8,019.95",25/09/2013,Confirmed
20/09/2013,17021071,9971968521,S,MBE,"60,000",0.105,19.95,"6,280.05",25/09/2013,Confirmed
17/09/2013,17001328,9972073067,B,MBN,"124,998",0.079,1.97,"9,876.81",20/09/2013,Confirmed
16/09/2013,17000672,9972073067,B,MBN,2,0.079,17.99,18.15,19/09/2013,Confirmed
13/09/2013,16995372,9972068427,S,MMC,"420,000",0.024,26.99,"10,053.01",18/09/2013,Confirmed
6/09/2013,16962872,9971904632,B,MBE,"60,000",0.081,17.99,"4,877.99",11/09/2013,Confirmed
5/09/2013,16959435,9971901103,S,BTR,"10,000",0.46,17.99,"4,582.01",10/09/2013,Confirmed
5/09/2013,16959663,9971902002,B,BGS,"185,000",0.027,17.99,"5,012.99",10/09/2013,Confirmed
5/09/2013,16959633,9971824504,S,MBE,"70,000",0.079,19.95,"5,510.05",10/09/2013,Confirmed
4/09/2013,16952318,9971866935,B,MNC,"150,000",0.066,19.95,"9,919.95",9/09/2013,Confirmed
4/09/2013,16951686,9971809586,S,DTE,"82,000",0.105,19.95,"8,590.05",9/09/2013,Confirmed
3/09/2013,16948004,9971844705,S,ISN,"8,000",0.636,19.95,"5,064.88",6/09/2013,Confirmed
3/09/2013,16948015,9971845830,B,MNC,"80,000",0.062,17.99,"4,977.99",6/09/2013,Confirmed
2/09/2013,16939995,9971809459,S,BUL,"57,000",0.089,19.95,"5,053.05",5/09/2013,Confirmed
2/09/2013,16941741,9971815919,B,BTR,"10,000",0.5,17.99,"5,017.99",5/09/2013,Confirmed
30/08/2013,16938525,9971798810,S,ISN,"7,700",0.65,19.95,"4,985.05",4/09/2013,Confirmed
30/08/2013,16939618,9971802935,B,MBE,"70,000",0.071,17.99,"4,987.99",4/09/2013,Confirmed
30/08/2013,16936325,9971783310,B,BUL,"57,000",0.087,17.99,"4,976.99",4/09/2013,Confirmed
29/08/2013,16933543,9971775053,B,RIO,170,58.34,19.95,"9,937.75",3/09/2013,Confirmed
29/08/2013,16934275,9971777899,B,IXR,"60,000",0.083,17.99,"4,997.99",3/09/2013,Confirmed
29/08/2013,16932689,9971771444,S,MNC,"80,000",0.062,17.99,"4,938.74",3/09/2013,Confirmed
29/08/2013,16929573,9971756856,S,MBN,"56,000",0.089,17.99,"4,966.01",3/09/2013,Confirmed
29/08/2013,16931387,9971746378,B,MNC,"80,000",0.061,17.99,"4,897.99",3/09/2013,Confirmed
29/08/2013,16930456,9971756322,B,BTR,"10,000",0.48,17.99,"4,817.99",3/09/2013,Confirmed
29/08/2013,16933851,9971776183,S,BTR,"10,000",0.465,17.99,"4,632.01",3/09/2013,Confirmed
29/08/2013,16932750,9971447388,S,BUL,"58,000",0.083,17.99,"4,796.01",3/09/2013,Confirmed
28/08/2013,16927330,9971747090,B,ISN,"7,700",0.645,17.99,"4,984.49",2/09/2013,Confirmed
28/08/2013,16925665,9971739618,S,BGS,"215,000",0.025,19.95,"5,355.05",2/09/2013,Confirmed
28/08/2013,16925181,9971737723,B,MBN,"56,000",0.088,17.99,"4,945.99",2/09/2013,Confirmed
28/08/2013,16924765,9971735957,S,CWE,"80,000",0.076,19.95,"6,060.05",2/09/2013,Confirmed
28/08/2013,16926489,9971731057,S,AHZ,"115,000",0.098,26.99,"11,243.01",2/09/2013,Confirmed
27/08/2013,16921509,9971718280,B,AHZ,"115,000",0.082,19.95,"9,449.95",30/08/2013,Confirmed
27/08/2013,16918555,9971703851,B,NMI,"300,000",0.016,17.99,"4,817.99",30/08/2013,Confirmed
27/08/2013,16918099,9971702191,B,ISN,"8,000",0.605,17.99,"4,857.99",30/08/2013,Confirmed
27/08/2013,16916758,9971697588,S,AHZ,"225,000",0.079,26.99,"17,748.01",30/08/2013,Confirmed
26/08/2013,16912797,9971673121,B,CWE,"80,000",0.061,17.99,"4,897.99",29/08/2013,Confirmed
26/08/2013,16911003,9971668101,B,AHZ,"90,000",0.077,19.95,"6,949.95",29/08/2013,Confirmed
26/08/2013,16912028,9971664181,S,GOR,"60,000",0.105,19.95,"6,280.05",29/08/2013,Confirmed
23/08/2013,16908567,9971651725,B,GOR,"60,000",0.082,17.99,"4,949.99",28/08/2013,Confirmed
23/08/2013,16907466,9971639363,S,MBN,"115,000",0.105,26.99,"12,042.97",28/08/2013,Confirmed
22/08/2013,16901805,9971620481,S,ICG,"180,000",0.051,19.95,"9,160.05",27/08/2013,Confirmed
22/08/2013,16902381,9971623227,B,DTE,"82,000",0.115,19.95,"9,449.95",27/08/2013,Confirmed
22/08/2013,16900990,9971616382,B,MBN,"115,000",0.11,26.99,"12,676.99",27/08/2013,Confirmed
22/08/2013,16900879,9971616304,S,DTE,"86,000",0.115,19.95,"9,870.05",27/08/2013,Confirmed
22/08/2013,16901788,9971613145,B,AHZ,"135,000",0.074,19.95,"10,009.95",27/08/2013,Confirmed
22/08/2013,16899531,9971610363,B,DTE,"86,000",0.115,19.95,"9,909.95",27/08/2013,Confirmed
22/08/2013,16898721,9971457691,S,MBN,"120,000",0.105,26.99,"12,573.01",27/08/2013,Confirmed
22/08/2013,16898720,9971387245,S,MBN,"100,000",0.105,26.99,"10,473.01",27/08/2013,Confirmed
21/08/2013,16891942,9971555558,B,MMC,"86,544",0.025,0,"2,163.60",26/08/2013,Confirmed
21/08/2013,16893385,9971584073,B,BGS,"215,000",0.022,17.99,"4,747.99",26/08/2013,Confirmed
20/08/2013,16887310,9971556311,B,ICG,"180,000",0.049,19.95,"8,839.95",23/08/2013,Confirmed
20/08/2013,16891390,9971555558,B,MMC,"333,456",0.023,19.95,"7,829.44",23/08/2013,Confirmed
20/08/2013,16886983,9971554929,S,AHZ,"200,000",0.078,26.99,"15,573.01",23/08/2013,Confirmed
20/08/2013,16888158,9971553357,S,CTR,"275,000",0.017,17.99,"4,657.01",23/08/2013,Confirmed
20/08/2013,16886668,9971550039,B,AHZ,"200,000",0.079,26.99,"15,826.99",23/08/2013,Confirmed
20/08/2013,16885394,9971549927,S,AHZ,"130,000",0.079,26.99,"10,243.01",23/08/2013,Confirmed
19/08/2013,16884456,9971457595,S,MNC,"115,000",0.06,19.95,"6,880.05",22/08/2013,Confirmed
19/08/2013,16882441,9971498856,B,AHZ,"130,000",0.075,19.95,"9,769.95",22/08/2013,Confirmed
16/08/2013,16873363,9971499145,B,CTR,"275,000",0.018,17.99,"4,967.99",21/08/2013,Confirmed
16/08/2013,16873279,9971447886,S,AHZ,"187,000",0.072,26.99,"13,437.01",21/08/2013,Confirmed
12/08/2013,16850366,9971363086,B,MNC,"115,000",0.043,17.99,"4,962.99",15/08/2013,Confirmed
12/08/2013,16848702,9971361051,S,DYE,"11,000",0.435,17.99,"4,767.01",15/08/2013,Confirmed
6/08/2013,16825189,9971255551,B,BUL,"58,000",0.086,17.99,"5,005.99",9/08/2013,Confirmed
5/08/2013,16822246,9971242089,B,RXL,"105,000",0.047,17.99,"4,952.99",8/08/2013,Confirmed
5/08/2013,16822072,9971241411,S,RXL,"100,000",0.049,17.99,"4,882.01",8/08/2013,Confirmed
5/08/2013,16823811,9971246139,S,RXL,"105,000",0.054,19.95,"5,650.05",8/08/2013,Confirmed
5/08/2013,16822031,9971241295,B,RXL,"100,000",0.049,17.99,"4,917.99",8/08/2013,Confirmed
5/08/2013,16821747,9971239974,S,RXL,"150,000",0.047,19.95,"7,030.05",8/08/2013,Confirmed
29/07/2013,16791558,9971093305,B,WHN,"290,000",0.017,17.99,"4,947.99",1/08/2013,Confirmed
29/07/2013,16790564,9971091298,S,SDL,"60,000",0.083,17.99,"4,962.01",1/08/2013,Confirmed
26/07/2013,16787289,9971042996,B,MBN,"120,000",0.083,19.95,"9,979.95",31/07/2013,Confirmed
25/07/2013,16781340,9970902388,S,MBN,"135,000",0.08,26.99,"10,773.01",30/07/2013,Confirmed
25/07/2013,16782369,9971045299,B,CTR,"225,000",0.022,17.99,"4,967.99",30/07/2013,Confirmed
25/07/2013,16781348,9971041904,S,MBN,"60,000",0.08,17.99,"4,782.01",30/07/2013,Confirmed
23/07/2013,16772193,9970982507,B,SDL,"60,000",0.083,17.99,"4,997.99",26/07/2013,Confirmed
23/07/2013,16768678,9970977329,S,AZS,"100,000",0.046,17.99,"4,582.01",26/07/2013,Confirmed
23/07/2013,16770488,9970958500,B,DYE,"11,000",0.45,17.99,"4,967.99",26/07/2013,Confirmed
23/07/2013,16768346,9970976108,B,MBN,"60,000",0.082,17.99,"4,937.99",26/07/2013,Confirmed
22/07/2013,16766019,9970963234,S,CZN,"72,000",0.069,17.99,"4,950.01",25/07/2013,Confirmed
22/07/2013,16765772,9970961969,B,CZN,"72,000",0.069,17.99,"4,985.99",25/07/2013,Confirmed
18/07/2013,16756912,9970913615,S,SDL,"114,000",0.084,19.95,"9,556.05",23/07/2013,Confirmed
18/07/2013,16756513,9970911782,B,MBN,"100,000",0.1,19.95,"10,019.95",23/07/2013,Confirmed
18/07/2013,16755492,9970907393,B,AZS,"100,000",0.05,17.99,"5,017.99",23/07/2013,Confirmed
18/07/2013,16755286,9970906578,B,SDL,"114,000",0.087,19.95,"9,937.95",23/07/2013,Confirmed
18/07/2013,16755464,9970905881,S,MBN,"105,000",0.094,19.95,"9,850.05",23/07/2013,Confirmed
18/07/2013,16755124,9970905650,B,MBN,"105,000",0.095,19.95,"9,994.95",23/07/2013,Confirmed
18/07/2013,16755135,9970898692,S,BGS,"230,000",0.023,19.95,"5,270.05",23/07/2013,Confirmed
18/07/2013,16752889,9970896010,S,CTR,"250,000",0.019,17.99,"4,732.01",23/07/2013,Confirmed
17/07/2013,16749724,9970879686,S,NEU,"64,000",0.076,17.99,"4,846.01",22/07/2013,Confirmed
17/07/2013,16749606,9970878432,B,NEU,"64,000",0.077,17.99,"4,945.99",22/07/2013,Confirmed
17/07/2013,16747579,9970868030,B,BGS,"230,000",0.021,17.99,"4,847.99",22/07/2013,Confirmed
16/07/2013,16744627,9970854714,B,MBN,"64,000",0.077,17.99,"4,945.99",19/07/2013,Confirmed
16/07/2013,16744716,9970855475,B,MBN,"61,000",0.081,17.99,"4,958.99",19/07/2013,Confirmed
16/07/2013,16744895,9970856357,S,MBN,"125,000",0.08,19.95,"9,980.05",19/07/2013,Confirmed
