Confirmation Number, Order Number, Trade Date, Buy / Sell, Stock Code, Units, Average Price, Brokerage, Net Proceeds, Settlement Date, Contract Status
46695807,Unk-46695807,01/10/2010,S,JPR,140000,.038000,29.950000,5290.050000,07/10/2010,Confirmed
46689224,Unk-46689224,01/10/2010,B,JPR,140000,.035000,29.950000,4929.950000,07/10/2010,Confirmed
46684578,Unk-46684578,30/09/2010,S,SDL,30000,.250000,29.950000,7470.050000,06/10/2010,Confirmed
46603832,Unk-46603832,27/09/2010,B,SDL,30000,.235000,29.950000,7079.950000,30/09/2010,Confirmed
42655637,Unk-42655637,29/01/2010,S,FML,140000,.068000,29.950000,9490.050000,03/02/2010,Confirmed
42601272,Unk-42601272,27/01/2010,B,FML,140000,.066000,29.950000,9269.950000,01/02/2010,Confirmed
42337150,Unk-42337150,13/01/2010,S,GSE,100000,.066000,29.950000,6570.050000,18/01/2010,Confirmed
41101139,Unk-41101139,02/11/2009,S,CTPO,20000,.080000,29.950000,1570.050000,06/11/2009,Confirmed
41101032,Unk-41101032,02/11/2009,S,CTP,40000,.135000,29.950000,5370.050000,06/11/2009,Confirmed
40354580,Unk-40354580,01/10/2009,S,CTP,40000,.210000,29.950000,8370.050000,07/10/2009,Confirmed
38650504,Unk-38650504,22/07/2009,B,MLSOA,200000,.006000,29.950000,1229.950000,27/07/2009,Confirmed
37631254,Unk-37631254,01/06/2009,B,MLSOA,200000,.010000,29.950000,2029.950000,04/06/2009,Confirmed
37595852,Unk-37595852,28/05/2009,S,WCUO,20000,.140000,29.950000,2770.050000,02/06/2009,Confirmed
37539967,Unk-37539967,26/05/2009,B,WCUO,20000,.105000,29.950000,2129.950000,29/05/2009,Confirmed
37538315,Unk-37538315,26/05/2009,S,GDNO,1120000,.002000,29.950000,2210.050000,29/05/2009,Confirmed
37381817,Unk-37381817,15/05/2009,B,GDNO,270000,.037000,29.950000,10019.950000,20/05/2009,Confirmed
37217477,Unk-37217477,08/05/2009,S,WCUO,95000,.105632,31.110000,10003.890000,13/05/2009,Confirmed
37214220,Unk-37214220,08/05/2009,B,WCUO,95000,.105000,29.950000,10004.950000,13/05/2009,Confirmed
37197472,Unk-37197472,07/05/2009,S,GDNO,240000,.037000,29.950000,8850.050000,12/05/2009,Confirmed
37161059,Unk-37161059,06/05/2009,B,GDNO,240000,.040000,29.950000,9629.950000,11/05/2009,Confirmed
37153336,Unk-37153336,06/05/2009,S,INL,300000,.018000,29.950000,5370.050000,11/05/2009,Confirmed
37148699,Unk-37148699,06/05/2009,B,INL,300000,.020000,29.950000,6029.950000,11/05/2009,Confirmed
37070566,Unk-37070566,01/05/2009,B,GDNO,210000,.032000,29.950000,6749.950000,06/05/2009,Confirmed
37065735,Unk-37065735,01/05/2009,B,GDNO,120000,.031000,29.950000,3749.950000,06/05/2009,Confirmed
36810751,Unk-36810751,17/04/2009,S,INL,250000,.021000,29.950000,5220.050000,22/04/2009,Confirmed
36789888,Unk-36789888,16/04/2009,B,INL,250000,.020000,29.950000,5029.950000,21/04/2009,Confirmed
36743989,Unk-36743989,14/04/2009,B,CTP,40000,.135000,29.950000,5429.950000,17/04/2009,Confirmed
36741284,Unk-36741284,14/04/2009,B,GDNO,70000,.036000,29.950000,2549.950000,17/04/2009,Confirmed
36724301,Unk-36724301,09/04/2009,S,GDNO,200000,.040000,29.950000,7970.050000,16/04/2009,Confirmed
36531111,Unk-36531111,30/03/2009,B,GDNO,300000,.010000,29.950000,3029.950000,02/04/2009,Confirmed
36473348,Unk-36473348,26/03/2009,S,INL,100000,.022000,29.950000,2170.050000,31/03/2009,Confirmed
36468509,Unk-36468509,26/03/2009,B,INL,100000,.024000,29.950000,2429.950000,31/03/2009,Confirmed
36440697,Unk-36440697,24/03/2009,S,GDNO,550000,.008000,29.950000,4370.050000,27/03/2009,Confirmed
36402061,Unk-36402061,23/03/2009,B,GDNO,550000,.009000,29.950000,4979.950000,26/03/2009,Confirmed
36304266,Unk-36304266,17/03/2009,B,GDNO,250000,.008000,29.950000,2029.950000,20/03/2009,Confirmed
36182709,Unk-36182709,06/03/2009,B,GDNO,100000,.005000,29.950000,529.950000,12/03/2009,Confirmed
36097770,Unk-36097770,02/03/2009,B,GOLD,34,146.600000,29.950000,5014.350000,05/03/2009,Confirmed
36078838,Unk-36078838,27/02/2009,S,OZL,7500,.605000,29.950000,4507.550000,04/03/2009,Confirmed
36071641,Unk-36071641,27/02/2009,B,OZL,7500,.635000,29.950000,4792.450000,04/03/2009,Confirmed
27457727,Unk-27457727,19/09/2007,S,THX,28000,.360000,31.250000,10048.750000,24/09/2007,Confirmed
27455557,Unk-27455557,19/09/2007,S,BLR,64000,.155000,29.950000,9890.050000,24/09/2007,Confirmed
27434582,Unk-27434582,18/09/2007,B,THX,28000,.355000,29.950000,9969.950000,21/09/2007,Confirmed
27393081,Unk-27393081,14/09/2007,S,BLR,64000,.150000,29.950000,9570.050000,19/09/2007,Confirmed
27389761,Unk-27389761,14/09/2007,B,BLR,64000,.155000,29.950000,9949.950000,19/09/2007,Confirmed
27389333,Unk-27389333,14/09/2007,B,BLR,64000,.155000,29.950000,9949.950000,19/09/2007,Confirmed
27365563,Unk-27365563,12/09/2007,S,AEX,320000,.029000,29.950000,9250.050000,17/09/2007,Confirmed
27365463,Unk-27365463,12/09/2007,S,APG,10000,.105000,29.950000,1020.050000,17/09/2007,Confirmed
27363789,Unk-27363789,12/09/2007,S,GDN,39000,.250000,29.950000,9720.050000,17/09/2007,Confirmed
27357530,Unk-27357530,12/09/2007,B,GDN,39000,.255000,29.950000,9974.950000,17/09/2007,Confirmed
27348232,Unk-27348232,12/09/2007,B,AEX,320000,.030000,29.950000,9629.950000,17/09/2007,Confirmed
27334860,Unk-27334860,11/09/2007,S,GDN,35000,.270000,29.950000,9420.050000,14/09/2007,Confirmed
27332445,Unk-27332445,11/09/2007,B,GDN,35000,.285000,29.950000,10004.950000,14/09/2007,Confirmed
27295707,Unk-27295707,07/09/2007,S,GDN,36000,.280000,31.250000,10048.750000,12/09/2007,Confirmed
27295205,Unk-27295205,07/09/2007,B,GDN,35000,.285000,29.950000,10004.950000,12/09/2007,Confirmed
27237583,Unk-27237583,04/09/2007,S,WMT,54000,.195000,32.640000,10497.360000,10/09/2007,Confirmed
27228100,Unk-27228100,04/09/2007,B,WMT,54000,.185000,29.950000,10019.950000,10/09/2007,Confirmed
26860637,Unk-26860637,16/08/2007,S,GGY,150000,.110000,51.150000,16448.850000,21/08/2007,Confirmed
26855109,Unk-26855109,16/08/2007,S,JMS,51000,.195490,29.950000,9940.050000,21/08/2007,Confirmed
26849946,Unk-26849946,16/08/2007,S,WMT,79000,.140000,34.290000,11025.710000,21/08/2007,Confirmed
26847186,Unk-26847186,16/08/2007,S,BLRO,55500,.092180,29.950000,5086.050000,21/08/2007,Confirmed
26846585,Unk-26846585,16/08/2007,S,BLR,93000,.120000,34.600000,11125.400000,21/08/2007,Confirmed
26844841,Unk-26844841,16/08/2007,S,RMI,130000,.049000,29.950000,6340.050000,21/08/2007,Confirmed
26844544,Unk-26844544,16/08/2007,S,MLS,51000,.058000,.000000,2958.000000,21/08/2007,Confirmed
26839597,Unk-26839597,16/08/2007,S,APG,134000,.100000,41.540000,13358.460000,21/08/2007,Confirmed
26834979,Unk-26834979,15/08/2007,S,WMT,49500,.155000,29.950000,7642.550000,20/08/2007,Confirmed
26831190,Unk-26831190,15/08/2007,S,YML,16927,.460000,.000000,7786.420000,20/08/2007,Confirmed
